player_id,match_id,region,device,ping,score,kills,deaths,match_duration_seconds
P021,MATCH_003,SEA,Android,95,3100,16,5,440
P022,MATCH_003,SEA,iOS,110,2700,13,7,440
P023,MATCH_003,SEA,PC,85,3500,18,4,440
P024,MATCH_003,SEA,Android,100,2400,12,8,440
P025,MATCH_003,SEA,Console,120,2200,11,9,440
P026,MATCH_003,LATAM,Android,140,2900,15,6,440
P027,MATCH_003,LATAM,iOS,130,3200,17,5,440
P028,MATCH_003,LATAM,PC,145,3600,19,4,440
P029,MATCH_003,LATAM,Android,135,2600,13,7,440
P030,MATCH_003,LATAM,Console,150,2100,10,10,440
